SLAB,DESCRIPTION,ID
I2A,INSTRUCCION (INSTRUCTORES),I2A - INSTRUCCION (INSTRUCTORES)
I2B,INSTRUCCION (INSTRUCTORES),I2B - INSTRUCCION (INSTRUCTORES)
I3,INSTRUCCION (INSTRUCTORES),I3 - INSTRUCCION (INSTRUCTORES)
I3A,INSTRUCCION (INSTRUCTORES),I3A - INSTRUCCION (INSTRUCTORES)
I3B,INSTRUCCION (INSTRUCTORES),I3B - INSTRUCCION (INSTRUCTORES)
I4,INSTRUCCION (INSTRUCTORES),I4 - INSTRUCCION (INSTRUCTORES)
I4A,INSTRUCCION (INSTRUCTORES),I4A - INSTRUCCION (INSTRUCTORES)
I4B,INSTRUCCION (INSTRUCTORES),I4B - INSTRUCCION (INSTRUCTORES)
I5,INSTRUCCION (INSTRUCTORES),I5 - INSTRUCCION (INSTRUCTORES)
I5A,INSTRUCCION (INSTRUCTORES),I5A - INSTRUCCION (INSTRUCTORES)
I5B,INSTRUCCION (INSTRUCTORES),I5B - INSTRUCCION (INSTRUCTORES)
I6,INSTRUCCION (INSTRUCTORES),I6 - INSTRUCCION (INSTRUCTORES)
I6A,INSTRUCCION (INSTRUCTORES),I6A - INSTRUCCION (INSTRUCTORES)
I6B,INSTRUCCION (INSTRUCTORES),I6B - INSTRUCCION (INSTRUCTORES)
I7,INSTRUCCION (INSTRUCTORES),I7 - INSTRUCCION (INSTRUCTORES)
I7A,INSTRUCCION (INSTRUCTORES),I7A - INSTRUCCION (INSTRUCTORES)
I7B,INSTRUCCION (INSTRUCTORES),I7B - INSTRUCCION (INSTRUCTORES)
I8,INSTRUCCION (INSTRUCTORES,I8 - INSTRUCCION (INSTRUCTORES
I8A,INSTRUCCION (INSTRUCTORES,I8A - INSTRUCCION (INSTRUCTORES
I8B,INSTRUCCION (INSTRUCTORES,I8B - INSTRUCCION (INSTRUCTORES
IB,INSTRUCCION ESCUELA,IB - INSTRUCCION ESCUELA
IC,INTERVENCION EN CRISIS,IC - INTERVENCION EN CRISIS
IMP,CURSO INSTRUCTOR M.P.,IMP - CURSO INSTRUCTOR M.P.
IRS,INICIAL CRM,IRS - INICIAL CRM
ITC,INFO DE CIA PARA TCP,ITC-INFO DE CIA PARA TCP
IW,CURSO REFRESCO SALVAMENTO IBERWORLD,IW - CURSO REFRESCO SALVAMENTO IBERWORLD
IX1,IMAGINARIA EXTENDIDA,IX1 - IMAGINARIA EXTENDIDA
IX2,IMAGINARIA EXTENDIDA,IX2 - IMAGINARIA EXTENDIDA
IX3,IMAGINARIA EXTENDIDA,IX3 - IMAGINARIA EXTENDIDA
IX4,IMAGINARIA EXTENDIDA,IX4 - IMAGINARIA EXTENDIDA
JA,CURSO REGLAS J.A.R.,JA - CURSO REGLAS J.A.R.
JE,JUBILACION,JE - JUBILACION
JV,JUBILACION,JV - JUBILACION
LB,LINEAS DE BCN,LB - LINEAS DE BCN
LCX,LEVEL EXPERIENCIA CLIENTE,LCX - LEVEL EXPERIENCIA CLIENTE
LM,LINEAS DE MAD,LM - LINEAS DE MAD
LP,LACTANCIA CON RIESGO,LP - LACTANCIA CON RIESGO
LPD,LEY PROTECCION DATOS,LPD - LEY PROTECCION DATOS
LTE,LEVEL TRANSICION ESCUELA,LTE - LEVEL TRANSICION ESCUELA
MAC,CURSO FORMACION,MAC - CURSO FORMACION
MB,CURSO CRM 2005,MB-  CURSO CRM 2005
MC,JORNADAS DE TRABAJO FORMACION,MC -JORNADAS DE TRABAJO FORMACION
MC1,CURSO FORMACION TCP,MC1-  CURSO FORMACION TCP
MC2,CURSO FORMACION TCP,MC2-  CURSO FORMACION TCP
MC3,CURSO FORMACION TCP,MC3-  CURSO FORMACION TCP
ME,GESTANTE,ME - GESTANTE
MIA,MERCANCIAS PELIGROSAS CAT 6,MIA - MERCANCIAS PELIGROSAS CAT 6
MOL,CURSO CCOM/SMS/FTL,MOL - CURSO CCOM/SMS/FTL
MPA,MERCANCIAS PELIGROSAS,MPA - MERCANCIAS PELIGROSAS
MQ,CURSO CRM 2004,MQ-  CURSO CRM 2004
MR,CURSO CRM 2003,MR-  CURSO CRM 2003
MS,CURSO RVSM,MS - CURSO RVSM
MTA,"ENTRENAMIENTO COMBINADO DE CRM PARA TCP Y TRIPULANTES DE
VUELO","MTA - ENTRENAMIENTO COMBINADO DE CRM PARA TCP Y TRIPULANTES DE
VUELO"
MTX,"ENTRENAMIENTO COMBINADO DE CRM PARA TCP Y TRIPULANTES DE
VUELO","MTX - ENTRENAMIENTO COMBINADO DE CRM PARA TCP Y TRIPULANTES DE
VUELO"
MTY,"ENTRENAMIENTO COMBINADO DE CRM PARA TCP Y TRIPULANTES DE
VUELO","MTY - ENTRENAMIENTO COMBINADO DE CRM PARA TCP Y TRIPULANTES DE
VUELO"
MTZ,"ENTRENAMIENTO COMBINADO DE CRM PARA TCP Y TRIPULANTES DE
VUELO","MTZ - ENTRENAMIENTO COMBINADO DE CRM PARA TCP Y TRIPULANTES DE
VUELO"
MV,CURSO MAQUINA VENTAS A BORDO,MV-  CURSO MAQUINA VENTAS A BORDO
MZ,CURSO CRM 2007,MZ-  CURSO CRM 2007
NO,NO PROGRAMAR,NO - NO PROGRAMAR
NP,NO PROGRAMAR,NP - NO PROGRAMAR
NS,NUEVO SOBRECARGO SALVAMENTO,NS - NUEVO SOBRECARGO SALVAMENTO
OB,EXCEDENTIA OBLIGATORIA,OB - EXCEDENTIA OBLIGATORIA
PB,CURSO PLAN DE COMUNICACION SOBRECARGO,PB - CURSO PLAN DE COMUNICACION SOBRECARGO
PE,EXCEDENCIA VOLUNTARIA,PE - EXCEDENCIA VOLUNTARIA
PF,CURSO PLAN FORMACION TCP,PF - CURSO PLAN FORMACION TCP
PG,PERMISO SS GRACIABLE ?,PG - PERMISO SS GRACIABLE ?
PH,DIAS DE PATERNIDAD,PH - DIAS DE PATERNIDAD
PJ,LICENCIA NO RETRIB,PJ - LICENCIA NO RETRIB
PL,PERDIDA LICENCIA,PL -PERDIDA LICENCIA
PP,PELOTAS,PP - PELOTAS
PRP,CURSO PREVENCION RIESGOS LABORALES,PRP - CURSO PREVENCION RIESGOS LABORALES
PRS,PREVENCION LABORAL NUEVOS SOBRECARGOS,PRS-PREVENCION LABORAL NUEVOS SOBRECARGOS
PRT,CURSO PREVENCION RIESGOS LABORALES,PRT - CURSO PREVENCION RIESGOS LABORALES
PTA,CURSO DE ACTUALIZACION PREVENCION LABORAL TEORICO,PTA - CURSO DE ACTUALIZACION PREVENCION LABORAL TEORICO
PV,PERMISO 20 AÑOS,PV- PERMISO 20 AÑOS
PX,DIA LIBRE NO RETRIBUIDO POR EXAMEN,PX -DIA LIBRE NO RETRIBUIDO POR EXAMEN
QRH,QUICK REFERENCE HANDBOOK,QRH - QUICK REFERENCE HANDBOOK
RA,REUNION DIRECCION TECNICA,RA - REUNION DIRECCION TECNICA
RD,REUNION SEGURIDAD VUELO,RD - REUNION SEGURIDAD VUELO
RF,REUNION FLOTA,RF - REUNION FLOTA
RJ,CURSO REFRESCO SALVAMENTO,RJ - CURSO REFRESCO SALVAMENTO
RJ1,CURSO REFRESCO SALVAMENTO,RJ1 - CURSO REFRESCO SALVAMENTO
RJ2,CURSO REFRESCO SALVAMENTO,RJ2 - CURSO REFRESCO SALVAMENTO
RKO,CURSO REFRESCO TCP,RKO-CURSO REFRESCO TCP
RL,REUNION MATERIAL,RL - REUNION MATERIAL
RMP,REFRESCO INSTRUCTOR MP,RMP- REFRESCO INSTRUCTOR MP
RN,REUNION CON PLANIFICACION,RN - REUNION CON PLANIFICACION
RO,REUNION D.G.A.C.,RO - REUNION D.G.A.C.
RP,REUNION CANOPS,RP - REUNION CANOPS
RR,REUNION C.G.R. (RETRASOS),RR - REUNION C.G.R. (RETRASOS)
RS1,CURSO DE ENTRENAMIENTO PERIODICO ANUAL TCP FAMILIA,RS1 - CURSO DE ENTRENAMIENTO PERIODICO ANUAL TCP FAMILIA
RS2,CURSO DE ENTRENAMIENTO PERIODICO ANUAL TCP FAMILIA,RS2 - CURSO DE ENTRENAMIENTO PERIODICO ANUAL TCP FAMILIA
RS3,CURSO DE ENTRENAMIENTO PERIODICO TRIENAL TCP FAMILIA,RS3 - CURSO DE ENTRENAMIENTO PERIODICO TRIENAL TCP FAMILIA
RSA,CURSO DE ENTRENAMIENTO PERIODICO ANUAL TCP FAMILIA,RSA - CURSO DE ENTRENAMIENTO PERIODICO ANUAL TCP FAMILIA
RSB,ENTRENAMIENTO PERIODICO A330 (SALVAMENTO),RSB - ENTRENAMIENTO PERIODICO A330 (SALVAMENTO)
RU,REUNION ESPECIAL SOBRECARGOS,RU- REUNION ESPECIAL SOBRECARGOS
RW,REUNION GRUPO MANDOS,RW - REUNION GRUPO MANDOS
RX,OTROS CURSOS,RX- OTROS CURSOS
RZ,CURSO REFRESCO AIR ATLANTA,RZ - CURSO REFRESCO AIR ATLANTA
SAL,CURSO SEGURIDAD ALIMENTARIA,SAL - CURSO SEGURIDAD ALIMENTARIA
SAL,SEGURIDAD ALIMENTARIA,SAL-SEGURIDAD ALIMENTARIA
SC,CURSO SOBRECARGO COMERCIAL,SC - CURSO SOBRECARGO COMERCIAL
SD,COMISION DE SERVICIO SIN DEVENGO,SD - COMISION DE SERVICIO SIN DEVENGO
SGA,MODULO SEGURIDAD,SGA - MODULO SEGURIDAD
SGB,MODULO SEGURIDAD,SGB - MODULO SEGURIDAD
SGC,MODULO SEGURIDAD,SGC - MODULO SEGURIDAD
SGD,MODULO SEGURIDAD,SGD - MODULO SEGURIDAD
SJ,MODULO SEGURIDAD,SJ - MODULO SEGURIDAD
SL,SUSPENSION DE CONTRATO,SL - SUSPENSION DE CONTRATO
SP,CURSO SUPERVISORES,SP - CURSO SUPERVISORES
SVT,SEGURIDAD EN VUELO,SVT - SEGURIDAD EN VUELO
T1,INSTRUCCION (ALUMNOS),T1 - INSTRUCCION (ALUMNOS)
T1A,INSTRUCCION (ALUMNOS),T1A - INSTRUCCION (ALUMNOS)
T1B,INSTRUCCION (ALUMNOS),T1B - INSTRUCCION (ALUMNOS)
T2,INSTRUCCION (ALUMNOS),T2 - INSTRUCCION (ALUMNOS)
T2A,INSTRUCCION (ALUMNOS),T2A - INSTRUCCION (ALUMNOS)
T2B,INSTRUCCION (ALUMNOS),T2B - INSTRUCCION (ALUMNOS)
T3,INSTRUCCION (ALUMNOS),T3 - INSTRUCCION (ALUMNOS)
T3A,INSTRUCCION (ALUMNOS),T3A - INSTRUCCION (ALUMNOS)
T3B,INSTRUCCION (ALUMNOS),T3B - INSTRUCCION (ALUMNOS)
T4,INSTRUCCION (ALUMNOS),T4 - INSTRUCCION (ALUMNOS)
T4A,INSTRUCCION (ALUMNOS),T4A - INSTRUCCION (ALUMNOS)
T4B,INSTRUCCION (ALUMNOS),T4B - INSTRUCCION (ALUMNOS)
T5,INSTRUCCION (ALUMNOS),T5 - INSTRUCCION (ALUMNOS)
T5A,INSTRUCCION (ALUMNOS),T5A - INSTRUCCION (ALUMNOS)
T5B,INSTRUCCION (ALUMNOS),T5B - INSTRUCCION (ALUMNOS)
T6,INSTRUCCION (ALUMNOS),T6 - INSTRUCCION (ALUMNOS)
T6A,INSTRUCCION (ALUMNOS),T6A - INSTRUCCION (ALUMNOS)
T6B,INSTRUCCION (ALUMNOS),T6B - INSTRUCCION (ALUMNOS)
T7,INSTRUCCION (ALUMNOS),T7 - INSTRUCCION (ALUMNOS)
T7A,INSTRUCCION (ALUMNOS),T7A - INSTRUCCION (ALUMNOS)
T7B,INSTRUCCION (ALUMNOS),T7B - INSTRUCCION (ALUMNOS)
T8,INSTRUCCION (ALUMNOS),T8 - INSTRUCCION (ALUMNOS)
T8A,INSTRUCCION (ALUMNOS),T8A - INSTRUCCION (ALUMNOS)
T8B,INSTRUCCION (ALUMNOS),T8B - INSTRUCCION (ALUMNOS)
TC,CALIFICACION TEORICA INSTRUCCION,TC - CALIFICACION TEORICA INSTRUCCION
TE,HABILITACION COMERCIAL,TE - HABILITACION COMERCIAL
TI,EXCEDENCIA PASE A TIERRA,TI - EXCEDENCIA PASE A TIERRA
TO,TECNICAS DE COMUNICACION,TO - TECNICAS DE COMUNICACION
TR,REFRESCO TEORICA(INSTRUCTORES),TR - REFRESCO TEORICA(INSTRUCTORES)
TSA,ENTR.DE CONVERSION DEL OPERADOR Y ESPECIFICO DE TIPO FAMILIA,TS - ENTR.DE CONVERSION DEL OPERADOR Y ESPECIFICO DE TIPO FAMILIA
TSB,ENTR.CONVERSION Y DIFERENCIAS (SALV.),TS - ENTR.CONVERSION Y DIFERENCIAS (SALV.)
V1,VUELO DE INSTRUCCION,V1 - VUELO DE INSTRUCCION
V2,VUELO DE INSTRUCCION,V2 - VUELO DE INSTRUCCION
V3,VUELO DE INSTRUCCION,V3 - VUELO DE INSTRUCCION
V4,VUELO DE INSTRUCCION,V4 - VUELO DE INSTRUCCION
VB,MIA CODE,VB - MIA CODE
VG,EXCEDENCIA POR VIOLENCIA DE GENERO,VG - EXCEDENCIA POR VIOLENCIA DE GENERO
VN,VISITA AL AVION,VN - VISITA AL AVION
VX,VUELO DE INCORPORACION O REGRESO A DESTACAMENTO O DESTINO,VX - VUELO DE INCORPORACION O REGRESO A DESTACAMENTO O DESTINO
